odometer_value,year_produced,engine_capacity,has_warranty,number_of_photos,duration_listed,up_counter,price_usd,drivetrain_all,drivetrain_front,drivetrain_rear,transmission_automatic,transmission_mechanical,engine_fuel_diesel,engine_fuel_gas,engine_fuel_gasoline,engine_fuel_hybrid-diesel,engine_fuel_hybrid-petrol
190000,2010,2.5,0,9,16,13,10900.0,1,0,0,1,0,0,0,1,0,0
290000,2002,3.0,0,12,83,54,5000.0,1,0,0,1,0,0,0,1,0,0
402000,2001,2.5,0,4,151,72,2800.0,1,0,0,1,0,0,0,1,0,0
10000,1999,3.0,0,9,86,42,9999.0,1,0,0,0,1,0,0,1,0,0
280000,2001,2.5,0,14,7,7,2134.11,1,0,0,1,0,0,0,1,0,0
132449,2011,2.5,0,20,67,56,14700.0,1,0,0,1,0,0,0,1,0,0
318280,1998,2.5,0,8,307,147,3000.0,1,0,0,1,0,0,0,1,0,0
350000,2004,2.5,0,7,73,29,4500.0,1,0,0,1,0,0,0,1,0,0
179000,2010,2.5,0,17,87,33,12900.0,1,0,0,1,0,0,0,1,0,0
571317,1999,2.5,0,8,43,11,4200.0,1,0,0,1,0,0,0,1,0,0
280000,2003,2.0,0,14,11,6,6900.0,1,0,0,0,1,0,0,1,0,0
256000,2008,3.6,0,18,80,61,8350.0,1,0,0,1,0,0,0,1,0,0
321000,2002,2.0,0,13,2,2,4300.0,1,0,0,0,1,0,0,1,0,0
49999,2001,1.3,0,8,230,94,1666.0,1,0,0,0,1,0,0,1,0,0
154685,2011,2.5,0,24,63,34,8600.0,1,0,0,1,0,0,0,1,0,0
163219,2004,2.0,0,17,35,22,7300.0,1,0,0,1,0,0,0,1,0,0
318650,2005,3.0,0,7,468,166,7587.97,1,0,0,1,0,0,0,1,0,0
191000,2005,2.0,0,12,21,7,10950.0,1,0,0,0,1,0,0,1,0,0
179000,2014,2.0,0,14,16,14,12700.0,1,0,0,1,0,0,0,1,0,0
159000,2013,2.0,0,6,59,34,16500.0,1,0,0,1,0,0,0,1,0,0
257495,2008,2.5,0,10,13,11,8700.0,1,0,0,1,0,0,0,1,0,0
241402,2005,3.0,0,18,188,18,7500.0,1,0,0,1,0,0,0,1,0,0
188000,2006,3.0,0,30,37,25,8650.0,1,0,0,1,0,0,0,1,0,0
240000,2001,2.5,0,5,86,42,3500.0,1,0,0,1,0,0,0,1,0,0
249448,2002,2.5,0,12,67,44,3800.0,1,0,0,1,0,0,0,1,0,0
250000,2007,3.0,0,7,204,62,7200.0,1,0,0,1,0,0,0,1,0,0
417000,1997,2.0,0,18,71,23,1850.0,0,1,0,1,0,0,0,1,0,0
377000,1999,2.5,0,12,21,10,3800.0,1,0,0,1,0,0,0,1,0,0
300000,1999,2.0,0,6,581,103,3000.0,1,0,0,0,1,0,0,1,0,0
270000,2004,2.0,0,10,48,21,6200.0,1,0,0,0,1,0,0,1,0,0
444444,1999,2.0,0,6,60,20,3700.0,1,0,0,0,1,0,0,1,0,0
299000,1994,2.2,0,9,85,47,650.0,1,0,0,1,0,0,1,0,0,0
340000,1993,1.6,0,4,91,5,2000.0,1,0,0,0,1,0,0,1,0,0
123456,1991,2.2,0,6,20,16,800.0,1,0,0,0,1,0,0,1,0,0
118000,2011,2.5,0,26,174,132,14950.0,1,0,0,0,1,0,0,1,0,0
246113,2008,1.5,0,13,62,11,5350.0,1,0,0,1,0,0,0,1,0,0
128748,2016,3.6,0,24,15,11,17059.12,1,0,0,1,0,0,0,1,0,0
100000,1994,2.0,0,6,91,42,1700.0,1,0,0,0,1,0,0,1,0,0
342790,1999,2.5,0,14,70,40,3500.0,1,0,0,1,0,0,0,1,0,0
390000,1997,2.0,0,8,46,28,3000.0,1,0,0,0,1,0,0,1,0,0
215000,2008,2.5,0,10,1,1,8100.0,1,0,0,1,0,0,0,1,0,0
288500,2006,2.5,0,25,2,2,8500.0,1,0,0,0,1,0,1,0,0,0
225000,2005,3.0,0,7,419,330,7500.0,1,0,0,1,0,0,1,0,0,0
310000,2001,2.5,0,4,1,1,3300.0,1,0,0,1,0,0,0,1,0,0
121000,2014,2.0,0,16,109,77,14950.0,1,0,0,1,0,0,0,1,0,0
242000,2003,2.5,0,16,10,3,4490.0,1,0,0,1,0,0,0,1,0,0
286,1998,2.5,0,11,2,2,2650.0,1,0,0,0,1,0,0,1,0,0
209000,2007,2.0,0,10,6,5,6950.0,1,0,0,1,0,0,0,1,0,0
195000,2006,3.0,0,12,15,12,8200.0,1,0,0,0,1,0,0,1,0,0
126705,2014,2.5,0,22,1,1,16500.0,1,0,0,1,0,0,0,1,0,0
164153,2008,2.5,0,8,1,1,8500.0,1,0,0,1,0,0,0,1,0,0
143000,2009,1.5,0,12,11,8,6450.0,0,1,0,0,1,0,0,1,0,0
463491,2002,2.5,0,13,56,15,3150.0,1,0,0,0,1,0,0,1,0,0
321869,1998,2.2,0,11,54,27,1900.0,1,0,0,0,1,0,0,1,0,0
250000,2005,2.0,0,9,62,22,4899.0,1,0,0,0,1,0,0,1,0,0
260000,1999,2.5,0,4,4,3,2500.0,1,0,0,0,1,0,0,1,0,0
300000,1999,2.0,0,6,21,11,1700.0,1,0,0,0,1,0,0,1,0,0
358047,1999,2.5,0,14,261,80,1800.0,1,0,0,1,0,0,0,1,0,0
296000,2003,2.0,0,7,10,6,6150.0,1,0,0,0,1,0,1,0,0,0
183000,2012,2.0,0,5,91,21,12900.0,1,0,0,1,0,0,0,1,0,0
116000,2010,2.5,0,10,48,35,7250.0,1,0,0,1,0,0,0,1,0,0
450000,1995,2.0,0,28,9,8,900.0,1,0,0,0,1,0,0,1,0,0
180000,2008,2.5,0,8,90,45,9400.0,1,0,0,1,0,0,0,1,0,0
343455,2001,2.0,0,1,1,1,3300.0,1,0,0,0,1,0,0,1,0,0
202777,2009,2.5,0,3,20,11,8200.0,1,0,0,1,0,0,0,1,0,0
230000,2001,2.5,0,6,184,27,4200.0,1,0,0,1,0,0,1,0,0,0
80000,1992,1.2,0,7,22,13,2100.0,1,0,0,0,1,0,0,1,0,0
408263,1999,2.5,0,11,82,23,1499.0,1,0,0,1,0,0,0,1,0,0
193,2010,2.5,0,16,10,4,9800.0,1,0,0,1,0,0,0,1,0,0
300000,1998,2.5,0,14,88,50,2500.0,1,0,0,1,0,0,0,1,0,0
285000,2001,2.5,0,12,11,3,3650.0,1,0,0,0,1,0,0,1,0,0
363500,1994,2.0,0,8,370,107,1400.0,0,1,0,0,1,0,0,1,0,0
127138,2005,2.5,0,11,65,32,5400.0,1,0,0,0,1,0,0,1,0,0
88000,2014,2.0,1,15,2,1,12950.0,1,0,0,1,0,0,0,1,0,0
128000,2012,2.0,0,13,46,17,15490.0,1,0,0,1,0,0,0,1,0,0
177000,2010,2.5,0,11,103,35,13500.0,1,0,0,1,0,0,0,1,0,0
350000,2000,2.0,0,5,158,92,2000.0,1,0,0,0,1,0,0,1,0,0
173000,2005,2.5,0,10,61,23,7500.0,1,0,0,0,1,0,0,1,0,0
280000,2004,2.5,0,12,58,5,5800.0,1,0,0,1,0,0,0,1,0,0
270000,1998,2.5,0,11,31,3,2750.0,0,1,0,0,1,0,0,1,0,0
310000,1996,2.0,0,20,120,11,3299.0,1,0,0,1,0,0,0,1,0,0
450000,1996,2.0,0,15,3,1,1400.0,1,0,0,0,1,0,0,1,0,0
179000,2008,3.6,0,12,58,8,9900.0,1,0,0,1,0,0,0,1,0,0
175000,2013,2.5,0,16,97,8,15900.0,1,0,0,1,0,0,0,1,0,0
130000,2008,2.5,0,9,179,14,13500.0,1,0,0,0,1,0,0,1,0,0
305000,1999,2.5,0,12,11,2,3750.0,1,0,0,1,0,0,0,1,0,0
294000,1999,2.0,0,19,11,2,3400.0,1,0,0,1,0,0,0,1,0,0
353000,2000,2.5,0,19,11,3,4250.0,1,0,0,0,1,0,0,1,0,0
400000,2003,2.0,0,7,6,3,5500.0,1,0,0,0,1,0,0,1,0,0
329786,2001,1.6,0,4,60,27,4100.0,1,0,0,0,1,0,0,1,0,0
230000,2003,2.0,0,6,35,5,7000.0,1,0,0,0,1,0,0,1,0,0
160000,2010,2.5,0,8,30,12,12600.0,1,0,0,0,1,0,0,1,0,0
279000,2008,3.6,0,7,72,34,5400.0,1,0,0,1,0,0,0,1,0,0
80000,2016,2.0,0,3,4,1,14500.0,1,0,0,1,0,0,0,1,0,0
394289,2002,2.5,0,6,206,91,3900.0,1,0,0,1,0,0,0,1,0,0
256000,2012,2.5,0,7,9,2,14227.45,1,0,0,1,0,0,0,1,0,0
160000,2011,2.5,0,5,71,9,17000.0,1,0,0,1,0,0,0,1,0,0
218000,1997,2.5,0,22,89,10,3750.0,1,0,0,0,1,0,0,1,0,0
273588,2006,2.5,0,7,76,12,6000.0,1,0,0,1,0,0,0,1,0,0
103975,2011,2.5,0,12,10,7,15500.0,1,0,0,0,1,0,0,1,0,0
330000,1995,2.2,0,13,91,11,1900.0,1,0,0,0,1,0,0,1,0,0
205328,2008,2.5,0,14,35,17,6499.0,1,0,0,1,0,0,0,1,0,0
353624,2001,3.0,0,9,37,19,5250.0,1,0,0,1,0,0,0,1,0,0
170000,2008,1.0,0,5,207,5,5199.0,0,1,0,0,1,0,0,1,0,0
370000,2004,2.5,0,10,4,1,6000.0,1,0,0,1,0,0,0,1,0,0
